game_id,timestamp,type,player,model_name,role,prompt,turn,move,from,to,outcome,captured,board_after,meta_json
20251110_204006,2025-11-10T20:40:06,prompt,0,mistral:7b,initial,"You are a competitive Stratego-playing agent.
Strictly follow the rules. Output exactly ONE legal move in the format [SRC DST] and nothing else.",,,,,,,,
20251110_204006,2025-11-10T20:40:06,prompt,1,gemma3:1b,initial,"You are a competitive Stratego-playing agent.
Strictly follow the rules. Output exactly ONE legal move in the format [SRC DST] and nothing else.",,,,,,,,
20251110_204006,2025-11-10T20:40:20,move,0,mistral:7b,,,0,D8 E8,,,,,,
20251110_204006,2025-11-10T20:40:28,move,1,gemma3:1b,,,1,G4 F4,,,,,,
20251110_204006,2025-11-10T20:40:45,move,0,mistral:7b,,,2,D9 E9,,,,,,
20251110_204006,2025-11-10T20:40:51,move,1,gemma3:1b,,,3,G9 F9,,,,,,
20251110_204006,2025-11-10T20:41:05,move,0,mistral:7b,,,4,D4 E4,,,,,,
20251110_204006,2025-11-10T20:41:11,move,1,gemma3:1b,,,5,F4 F5,,,,,,
20251110_204006,2025-11-10T20:41:23,move,0,mistral:7b,,,6,E8 F8,,,,,,
20251110_204006,2025-11-10T20:41:30,move,1,gemma3:1b,,,7,G8 G9,,,,,,
20251110_204006,2025-11-10T20:41:47,move,0,mistral:7b,,,8,E4 D4,,,,,,
20251110_204006,2025-11-10T20:41:53,move,1,gemma3:1b,,,9,H4 G4,,,,,,
20251110_204006,2025-11-10T20:42:03,move,0,mistral:7b,,,10,D5 E5,,,,,,
20251110_204006,2025-11-10T20:42:10,move,1,gemma3:1b,,,11,H3 H4,,,,,,
20251110_204006,2025-11-10T20:42:23,move,0,mistral:7b,,,12,F8 F9,,,,,,
20251110_204006,2025-11-10T20:42:30,move,1,gemma3:1b,,,13,G7 G8,,,,,,
20251110_204006,2025-11-10T20:42:39,move,0,mistral:7b,,,14,C9 D9,,,,,,
20251110_204006,2025-11-10T20:42:45,move,1,gemma3:1b,,,15,G0 F0,,,,,,
20251110_204006,2025-11-10T20:43:01,move,0,mistral:7b,,,16,D9 D8,,,,,,
20251110_204006,2025-11-10T20:43:07,move,1,gemma3:1b,,,17,F0 G0,,,,,,
20251110_204006,2025-11-10T20:43:40,move,0,mistral:7b,,,18,C8 C9,,,,,,
20251110_204006,2025-11-10T20:43:46,move,1,gemma3:1b,,,19,G6 G7,,,,,,
20251110_204006,2025-11-10T20:44:06,move,0,mistral:7b,,,20,E9 D9,,,,,,
20251110_204006,2025-11-10T20:44:12,move,1,gemma3:1b,,,21,G3 H3,,,,,,
20251110_204006,2025-11-10T20:44:26,move,0,mistral:7b,,,22,C9 C8,,,,,,
20251110_204006,2025-11-10T20:44:32,move,1,gemma3:1b,,,23,G7 G6,,,,,,
20251110_204006,2025-11-10T20:44:46,move,0,mistral:7b,,,24,D0 E0,,,,,,
20251110_204006,2025-11-10T20:44:52,move,1,gemma3:1b,,,25,H3 G3,,,,,,
20251110_204006,2025-11-10T20:45:09,move,0,mistral:7b,,,26,D4 E4,,,,,,
20251110_204006,2025-11-10T20:45:16,move,1,gemma3:1b,,,27,G4 F4,,,,,,
20251110_204006,2025-11-10T20:45:31,move,0,mistral:7b,,,28,D8 E8,,,,,,
20251110_204006,2025-11-10T20:45:37,move,1,gemma3:1b,,,29,F4 E4,,,,,,
20251110_204006,2025-11-10T20:45:50,move,0,mistral:7b,,,30,E8 E9,,,,,,
20251110_204006,2025-11-10T20:45:56,move,1,gemma3:1b,,,31,G1 F1,,,,,,
20251110_204006,2025-11-10T20:46:08,move,0,mistral:7b,,,32,E9 E8,,,,,,
20251110_204006,2025-11-10T20:46:14,move,1,gemma3:1b,,,33,G6 G7,,,,,,
20251110_204006,2025-11-10T20:46:28,move,0,mistral:7b,,,34,E8 D8,,,,,,
20251110_204006,2025-11-10T20:46:34,move,1,gemma3:1b,,,35,H4 G4,,,,,,
20251110_204006,2025-11-10T20:46:46,move,0,mistral:7b,,,36,E0 E1,,,,,,
20251110_204006,2025-11-10T20:46:52,move,1,gemma3:1b,,,37,E4 F4,,,,,,
20251110_204006,2025-11-10T20:47:04,move,0,mistral:7b,,,38,F9 G9,,,,,,
20251110_204006,2025-11-10T20:47:10,move,1,gemma3:1b,,,39,G0 G1,,,,,,
20251110_204006,2025-11-10T20:47:27,move,0,mistral:7b,,,40,D8 E8,,,,,,
20251110_204006,2025-11-10T20:47:33,move,1,gemma3:1b,,,41,H2 H4,,,,,,
20251110_204006,2025-11-10T20:47:48,move,0,mistral:7b,,,42,D9 C9,,,,,,
20251110_204006,2025-11-10T20:47:54,move,1,gemma3:1b,,,43,G8 G9,,,,,,
20251110_204006,2025-11-10T20:48:06,move,0,mistral:7b,,,44,E1 E0,,,,,,
20251110_204006,2025-11-10T20:48:12,move,1,gemma3:1b,,,45,H9 G9,,,,,,
20251110_204006,2025-11-10T20:48:25,move,0,mistral:7b,,,46,E0 E1,,,,,,
20251110_204006,2025-11-10T20:48:31,move,1,gemma3:1b,,,47,F1 E1,,,,,,
20251110_204006,2025-11-10T20:48:42,move,0,mistral:7b,,,48,E5 D5,,,,,,
20251110_204006,2025-11-10T20:48:48,move,1,gemma3:1b,,,49,G7 G6,,,,,,
20251110_204006,2025-11-10T20:49:12,move,0,mistral:7b,,,50,D7 D8,,,,,,
20251110_204006,2025-11-10T20:49:18,move,1,gemma3:1b,,,51,G1 G0,,,,,,
20251110_204006,2025-11-10T20:49:31,move,0,mistral:7b,,,52,C7 D7,,,,,,
20251110_204006,2025-11-10T20:49:38,move,1,gemma3:1b,,,53,H4 H2,,,,,,
20251110_204006,2025-11-10T20:50:00,move,0,mistral:7b,,,54,C9 D9,,,,,,
20251110_204006,2025-11-10T20:50:06,move,1,gemma3:1b,,,55,G4 H4,,,,,,
20251110_204006,2025-11-10T20:50:33,move,0,mistral:7b,,,56,D9 C9,,,,,,
20251110_204006,2025-11-10T20:50:39,move,1,gemma3:1b,,,57,G5 G4,,,,,,
20251110_204006,2025-11-10T20:50:58,move,0,mistral:7b,,,58,D3 D4,,,,,,
20251110_204006,2025-11-10T20:51:04,move,1,gemma3:1b,,,59,H7 G7,,,,,,
20251110_204006,2025-11-10T20:51:32,move,0,mistral:7b,,,60,C0 D0,,,,,,
20251110_204006,2025-11-10T20:51:38,move,1,gemma3:1b,,,61,G2 G1,,,,,,
20251110_204006,2025-11-10T20:51:49,move,0,mistral:7b,,,62,D5 E5,,,,,,
20251110_204006,2025-11-10T20:51:55,move,1,gemma3:1b,,,63,F5 G5,,,,,,
20251110_204006,2025-11-10T20:52:09,move,0,mistral:7b,,,64,C9 D9,,,,,,
20251110_204006,2025-11-10T20:52:15,move,1,gemma3:1b,,,65,H2 H3,,,,,,
20251110_204006,2025-11-10T20:52:35,move,0,mistral:7b,,,66,C6 C7,,,,,,
20251110_204006,2025-11-10T20:52:42,move,1,gemma3:1b,,,67,G1 G2,,,,,,
20251110_204006,2025-11-10T20:52:58,move,0,mistral:7b,,,68,G9 F9,,,,,,
20251110_204006,2025-11-10T20:53:05,move,1,gemma3:1b,,,69,F4 E4,,,,,,
20251110_204006,2025-11-10T20:53:18,move,0,mistral:7b,,,70,F9 E9,,,,,,
20251110_204006,2025-11-10T20:53:24,move,1,gemma3:1b,,,71,E4 D4,,,,,,
