game_id,timestamp,type,player,model_name,role,prompt,turn,move,from,to,outcome,captured,board_after,meta_json
20251110_192917,2025-11-10T19:29:17,prompt,0,mistral:7b,initial,"You are a competitive Stratego-playing agent.
Strictly follow the rules. Output exactly ONE legal move in the format [SRC DST] and nothing else.",,,,,,,,
20251110_192917,2025-11-10T19:29:17,prompt,1,gemma3:1b,initial,"You are a competitive Stratego-playing agent.
Strictly follow the rules. Output exactly ONE legal move in the format [SRC DST] and nothing else.",,,,,,,,
20251110_192917,2025-11-10T19:29:22,move,0,mistral:7b,,,0,[D5 E5],,,,,,
20251110_192917,2025-11-10T19:29:30,move,1,gemma3:1b,,,1,[G9 F9],,,,,,
20251110_192917,2025-11-10T19:29:32,move,0,mistral:7b,,,2,[C5 D5],,,,,,
20251110_192917,2025-11-10T19:29:35,move,1,gemma3:1b,,,3,[F9 G9],,,,,,
20251110_192917,2025-11-10T19:29:35,move,0,mistral:7b,,,4,[D0 E0],,,,,,
20251110_192917,2025-11-10T19:29:39,move,1,gemma3:1b,,,5,[G8 F8],,,,,,
20251110_192917,2025-11-10T19:29:39,move,0,mistral:7b,,,6,[C4 C5],,,,,,
20251110_192917,2025-11-10T19:29:43,move,1,gemma3:1b,,,7,[F8 E8],,,,,,
20251110_192917,2025-11-10T19:29:44,move,0,mistral:7b,,,8,[C3 C4],,,,,,
20251110_192917,2025-11-10T19:29:48,move,1,gemma3:1b,,,9,[H8 G8],,,,,,
20251110_192917,2025-11-10T19:29:50,move,0,mistral:7b,,,10,[C0 D0],,,,,,
20251110_192917,2025-11-10T19:29:54,move,1,gemma3:1b,,,11,[G5 E5],,,,,,
20251110_192917,2025-11-10T19:29:54,move,0,mistral:7b,,,12,[C1 C0],,,,,,
20251110_192917,2025-11-10T19:29:58,move,1,gemma3:1b,,,13,[G9 F9],,,,,,
20251110_192917,2025-11-10T19:29:59,move,0,mistral:7b,,,14,[D1 C1],,,,,,
20251110_192917,2025-11-10T19:30:03,move,1,gemma3:1b,,,15,[G6 G5],,,,,,
20251110_192917,2025-11-10T19:30:03,move,0,mistral:7b,,,16,[D3 C3],,,,,,
20251110_192917,2025-11-10T19:30:07,move,1,gemma3:1b,,,17,[G7 G6],,,,,,
20251110_192917,2025-11-10T19:30:08,move,0,mistral:7b,,,18,[D4 E4],,,,,,
20251110_192917,2025-11-10T19:30:12,move,1,gemma3:1b,,,19,[G1 F1],,,,,,
20251110_192917,2025-11-10T19:30:12,move,0,mistral:7b,,,20,[E4 D4],,,,,,
20251110_192917,2025-11-10T19:30:16,move,1,gemma3:1b,,,21,[F9 F8],,,,,,
20251110_192917,2025-11-10T19:30:16,move,0,mistral:7b,,,22,[C1 D1],,,,,,
20251110_192917,2025-11-10T19:30:17,move,1,gemma3:1b,,,23,[E8 D8],,,,,,
20251110_192917,2025-11-10T19:30:17,move,0,mistral:7b,,,24,[D4 D3],,,,,,
20251110_192917,2025-11-10T19:30:21,move,1,gemma3:1b,,,25,[F8 F9],,,,,,
20251110_192917,2025-11-10T19:30:21,move,0,mistral:7b,,,26,[C4 D4],,,,,,
20251110_192917,2025-11-10T19:30:23,move,1,gemma3:1b,,,27,[F1 E1],,,,,,
20251110_192917,2025-11-10T19:30:23,move,0,mistral:7b,,,28,[D1 C1],,,,,,
20251110_192917,2025-11-10T19:30:24,move,1,gemma3:1b,,,29,[E1 D1],,,,,,
